"ruta_interna","nombre_archivo","tipo_evidencia","fecha_sesion","fecha_procesamiento","codigo_participante","duracion","codec_formato","tamano_kb_reportado","sha256","estado_revision","observaciones"
"Entrevistas/Consentimientos/ENTR-01_Consentimiento_Original.pdf","ENTR-01_Consentimiento_Original.pdf","consentimiento","2026-07-28","2026-09-01 14:48","ENTR-01","NO_APLICA","PDF","565","f936e12a5e5984bfc27a655c8818366ae54363be3269614f8e3bb7a2b9e97f36","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Entrevistas/Consentimientos/ENTR-02_Consentimiento_Original.pdf","ENTR-02_Consentimiento_Original.pdf","consentimiento","2026-07-27","2026-09-01 14:48","ENTR-02","NO_APLICA","PDF","223","64bb7242d9e81ced0a5bdccbea17f50141597eb25e862d0553d6461199732c2c","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Entrevistas/Consentimientos/ENTR-03_Consentimiento_Original.pdf","ENTR-03_Consentimiento_Original.pdf","consentimiento","2026-07-27","2026-09-01 14:48","ENTR-03","NO_APLICA","PDF","168","91be16f0e19349e1c6125f3a39300d1e0ff097746195fd296804c7a0c7b9a5d7","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Entrevistas/Consentimientos/ENTR-04_Consentimiento_Original.pdf","ENTR-04_Consentimiento_Original.pdf","consentimiento","2026-07-27","2026-09-01 14:48","ENTR-04","NO_APLICA","PDF","223","ada96f48ef75453437819de6355ac4ed672c55561646026f4029fa2f5a692bf2","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Entrevistas/Consentimientos/ENTR-05_Consentimiento_Original.pdf","ENTR-05_Consentimiento_Original.pdf","consentimiento","2026-07-28","2026-09-01 14:48","ENTR-05","NO_APLICA","PDF","5363","2d7d55c153bece3054076629aa9b4aed0ae0dda394c1fddfb6be0ca2aa96c316","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Entrevistas/Consentimientos/ENTR-06_Consentimiento_Original.pdf","ENTR-06_Consentimiento_Original.pdf","consentimiento","2026-07-29","2026-09-01 14:48","ENTR-06","NO_APLICA","PDF","178","40e7b7f99be3df91f840feb236551c6904393ce9c1df8f69387fec5f53c620ef","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Entrevistas/Consentimientos/ENTR-07_Consentimiento_Original.pdf","ENTR-07_Consentimiento_Original.pdf","consentimiento","2026-07-28","2026-09-01 14:48","ENTR-07","NO_APLICA","PDF","5829","4895ba3418984aedd77517a7bfa2ca908e344837ff6b93c94edb31a3af1c9f50","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Entrevistas/Consentimientos/ENTR-08_Consentimiento_Original.pdf","ENTR-08_Consentimiento_Original.pdf","consentimiento","2026-07-28","2026-09-01 14:48","ENTR-08","NO_APLICA","PDF","807","4ca60ffba6fecac8853637467bc9c24e49838d8e331a3cbebf68fcf5fa3dde59","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Entrevistas/Consentimientos/ENTR-09_Consentimiento_Original.pdf","ENTR-09_Consentimiento_Original.pdf","consentimiento","2026-07-28","2026-09-01 14:48","ENTR-09","NO_APLICA","PDF","920","e51c95ffe25fe7611e6ee32a6086f9da9e8987968d9f901ff48a7b3c317b2021","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Entrevistas/Consentimientos/ENTR-10_Consentimiento_Original.pdf","ENTR-10_Consentimiento_Original.pdf","consentimiento","2026-07-25","2026-09-01 14:48","ENTR-10","NO_APLICA","PDF","5297","afc1a851b9ce12bd0e96416bf007b4b430729b15d0e29160e42f384c0a2aad21","COMPLETO","Ficha técnica completa: formato, tamaño y SHA-256 registrados; duración no aplica."
"Entrevistas/Videos/2026-07-25_Video_ENTR-10_InstructorGym.mp4","2026-07-25_Video_ENTR-10_InstructorGym.mp4","video","2026-07-25","2026-09-01 14:48","ENTR-10","00:18:07","MP4 (video=H264, audio=AAC)","46864","3f4a23f1a10888942f5f47fe787a409aad32a223a5f4c829739fa6cee5f6ce5f","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Videos/2026-07-27_Video_ENTR-02_RecepcionistaGym.mp4","2026-07-27_Video_ENTR-02_RecepcionistaGym.mp4","video","2026-07-27","2026-09-01 14:48","ENTR-02","00:22:13","MP4 (video=H264, audio=AAC)","58760","b39b686d3ac21dcafab54411248bf03d45d098d8c6063d6b2a05c20fba3bff88","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Videos/2026-07-27_Video_ENTR-03_RecepcionistaGym.mp4","2026-07-27_Video_ENTR-03_RecepcionistaGym.mp4","video","2026-07-27","2026-09-01 14:48","ENTR-03","00:22:17","MP4 (video=H264, audio=AAC)","72347","4f9c1f5dceb9a32eb83aac1807a00f326b7fe4e62700855b6178fa7aee3a2204","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Videos/2026-07-27_Video_ENTR-04_RecepcionistaGym.mp4","2026-07-27_Video_ENTR-04_RecepcionistaGym.mp4","video","2026-07-27","2026-09-01 14:48","ENTR-04","00:24:05","MP4 (video=H264, audio=AAC)","77065","8665b30707c294516ad94b8498a835b9f7d662e9c6b62a62458abbd7549dfb62","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Videos/2026-07-28_Video_ENTR-01_DuenoGym.mp4","2026-07-28_Video_ENTR-01_DuenoGym.mp4","video","2026-07-28","2026-09-01 14:48","ENTR-01","00:11:09","MP4 (video=H264, audio=AAC)","76293","fe7a760e6345850307ca51ae5fa27fee3406f2fb93039c3a059549c0066b7b15","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Videos/2026-07-28_Video_ENTR-05_RecepcionistaGym.mp4","2026-07-28_Video_ENTR-05_RecepcionistaGym.mp4","video","2026-07-28","2026-09-01 14:48","ENTR-05","00:20:10","MP4 (video=H264, audio=AAC)","66637","29e811ecdcb7119d826db2cff1ec0bf17c7f4a80c1f7ab7c9eff0f53213680a6","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
